#M	Z	rb-85	rb-87
1.200000e+01	1.000000e-02	6.724000e-09	2.654000e-09
1.500000e+01	1.000000e-02	1.049000e-08	4.142000e-09
2.000000e+01	1.000000e-02	1.852000e-08	7.311000e-09
2.500000e+01	1.000000e-02	3.382000e-08	1.335000e-08
