#M	Z	ag-107	ag-109
1.200000e+01	1.000000e-02	4.111000e-10	3.890000e-10
1.500000e+01	1.000000e-02	6.415000e-10	6.071000e-10
2.000000e+01	1.000000e-02	1.132000e-09	1.072000e-09
2.500000e+01	1.000000e-02	2.068000e-09	1.957000e-09
