#M	Z	ni-58	ni-60	ni-61	ni-62	ni-64
1.200000e+01	1.000000e-02	2.994000e-05	1.193000e-05	5.273000e-07	1.709000e-06	4.492000e-07
1.500000e+01	1.000000e-02	4.673000e-05	1.862000e-05	8.229000e-07	2.667000e-06	7.011000e-07
2.000000e+01	1.000000e-02	8.248000e-05	3.286000e-05	1.452000e-06	4.707000e-06	1.237000e-06
2.500000e+01	1.000000e-02	1.506000e-04	6.001000e-05	2.652000e-06	8.595000e-06	2.260000e-06
