#M	Z	br-79	br-81
1.200000e+01	1.000000e-02	7.284000e-09	7.266000e-09
1.500000e+01	1.000000e-02	1.137000e-08	1.134000e-08
2.000000e+01	1.000000e-02	2.006000e-08	2.001000e-08
2.500000e+01	1.000000e-02	3.664000e-08	3.655000e-08
