#M_sun	k-39	k-40	k-41
8	0	0	0
1.200000e+01	2.045000e-06	2.612000e-10	1.551000e-07
1.500000e+01	3.191000e-06	4.081000e-10	2.421000e-07
2.000000e+01	5.632000e-06	7.212000e-10	4.273000e-07
2.500000e+01	1.028000e-05	1.318000e-09	7.803000e-07
