#M_sun	te-120	te-122	te-123	te-124	te-125	te-126	te-128	te-130
8	0	0	0	0	0	0	0	0
1.200000e+01	8.537000e-12	2.353000e-10	8.276000e-11	4.426000e-10	6.613000e-10	1.770000e-09	3.006000e-09	3.256000e-09
1.500000e+01	1.332000e-11	3.673000e-10	1.292000e-10	6.907000e-10	1.032000e-09	2.762000e-09	4.691000e-09	5.082000e-09
2.000000e+01	2.352000e-11	6.482000e-10	2.280000e-10	1.219000e-09	1.822000e-09	4.874000e-09	8.279000e-09	8.969000e-09
2.500000e+01	4.294000e-11	1.184000e-09	4.163000e-10	2.226000e-09	3.326000e-09	8.901000e-09	1.512000e-08	1.638000e-08
