#M	Z	nb-93
1.200000e+01	1.000000e-02	9.962000e-10
1.500000e+01	1.000000e-02	1.555000e-09
2.000000e+01	1.000000e-02	2.744000e-09
2.500000e+01	1.000000e-02	5.011000e-09
