#M	Z	sc-45
1.200000e+01	1.000000e-02	2.838000e-08
1.500000e+01	1.000000e-02	4.430000e-08
2.000000e+01	1.000000e-02	7.818000e-08
2.500000e+01	1.000000e-02	1.428000e-07
