#M	Z	mg-24	mg-25	mg-26
1.200000e+01	1.000000e-02	3.074000e-04	3.744000e-05	4.960000e-05
1.500000e+01	1.000000e-02	4.797000e-04	6.060000e-05	7.514000e-05
2.000000e+01	1.000000e-02	8.466000e-04	1.004000e-04	1.392000e-04
2.500000e+01	1.000000e-02	1.546000e-03	1.807000e-04	2.568000e-04
