#M	Z	cr-50	cr-52	cr-53	cr-54
1.200000e+01	1.000000e-02	4.333000e-07	8.691000e-06	1.004000e-06	2.547000e-07
1.500000e+01	1.000000e-02	6.763000e-07	1.356000e-05	1.567000e-06	3.975000e-07
2.000000e+01	1.000000e-02	1.194000e-06	2.394000e-05	2.766000e-06	7.016000e-07
2.500000e+01	1.000000e-02	2.180000e-06	4.371000e-05	5.052000e-06	1.281000e-06
