#M_sun	sm-144	sm-147	sm-148	sm-149	sm-150	sm-152	sm-154
8	0	0	0	0	0	0	0
1.200000e+01	1.931000e-11	9.618000e-11	7.259000e-11	8.985000e-11	4.830000e-11	1.774000e-10	1.529000e-10
1.500000e+01	3.014000e-11	1.501000e-10	1.133000e-10	1.402000e-10	7.539000e-11	2.768000e-10	2.386000e-10
2.000000e+01	5.320000e-11	2.649000e-10	2.000000e-10	2.475000e-10	1.331000e-10	4.886000e-10	4.211000e-10
2.500000e+01	9.714000e-11	4.838000e-10	3.652000e-10	4.519000e-10	2.430000e-10	8.922000e-10	7.691000e-10
