#M	Z	sn-112	sn-114	sn-115	sn-116	sn-117	sn-118	sn-119	sn-120	sn-122	sn-124
1.200000e+01	1.000000e-02	6.402000e-11	4.422000e-11	2.295000e-11	9.926000e-10	5.287000e-10	1.683000e-09	6.014000e-10	2.302000e-09	3.324000e-10	4.226000e-10
1.500000e+01	1.000000e-02	9.991000e-11	6.902000e-11	3.581000e-11	1.549000e-09	8.251000e-10	2.626000e-09	9.385000e-10	3.593000e-09	5.188000e-10	6.595000e-10
2.000000e+01	1.000000e-02	1.763000e-10	1.218000e-10	6.321000e-11	2.734000e-09	1.456000e-09	4.635000e-09	1.656000e-09	6.342000e-09	9.157000e-10	1.164000e-09
2.500000e+01	1.000000e-02	3.220000e-10	2.224000e-10	1.154000e-10	4.993000e-09	2.659000e-09	8.463000e-09	3.025000e-09	1.158000e-08	1.672000e-09	2.125000e-09
