#M_sun	se-74	se-76	se-77	se-78	se-80	se-82
8	0	0	0	0	0	0
1.200000e+01	6.280000e-10	6.796000e-09	5.612000e-09	1.770000e-08	3.789000e-08	6.835000e-09
1.500000e+01	9.802000e-10	1.061000e-08	8.759000e-09	2.763000e-08	5.913000e-08	1.067000e-08
2.000000e+01	1.730000e-09	1.872000e-08	1.546000e-08	4.876000e-08	1.044000e-07	1.883000e-08
2.500000e+01	3.159000e-09	3.418000e-08	2.823000e-08	8.904000e-08	1.906000e-07	3.438000e-08
