#M	Z	ar-36	ar-38	ar-40
1.200000e+01	1.000000e-02	4.300000e-05	8.253000e-06	1.389000e-08
1.500000e+01	1.000000e-02	6.711000e-05	1.288000e-05	2.168000e-08
2.000000e+01	1.000000e-02	1.185000e-04	2.273000e-05	3.827000e-08
2.500000e+01	1.000000e-02	2.163000e-04	4.151000e-05	6.989000e-08
