#M_sun	sr-84	sr-86	sr-87	sr-88
8	0	0	0	0
1.200000e+01	1.692000e-10	3.064000e-09	2.330000e-09	2.627000e-08
1.500000e+01	2.641000e-10	4.782000e-09	3.636000e-09	4.100000e-08
2.000000e+01	4.662000e-10	8.440000e-09	6.417000e-09	7.236000e-08
2.500000e+01	8.513000e-10	1.541000e-08	1.172000e-08	1.321000e-07
