#M_sun	si-28	si-29	si-30
8	0	0	0
1.200000e+01	3.907000e-04	2.055000e-05	1.401000e-05
1.500000e+01	6.098000e-04	3.207000e-05	2.187000e-05
2.000000e+01	1.076000e-03	5.660000e-05	3.860000e-05
2.500000e+01	1.965000e-03	1.034000e-04	7.048000e-05
