#M_sun	dy-156	dy-158	dy-160	dy-161	dy-162	dy-163	dy-164
8	0	0	0	0	0	0	0
1.200000e+01	5.262000e-13	9.137000e-13	2.255000e-11	1.834000e-10	2.489000e-10	2.445000e-10	2.785000e-10
1.500000e+01	8.212000e-13	1.426000e-12	3.520000e-11	2.862000e-10	3.885000e-10	3.815000e-10	4.346000e-10
2.000000e+01	1.449000e-12	2.517000e-12	6.212000e-11	5.051000e-10	6.857000e-10	6.734000e-10	7.671000e-10
2.500000e+01	2.647000e-12	4.596000e-12	1.134000e-10	9.224000e-10	1.252000e-09	1.230000e-09	1.401000e-09
