#M	Z	ru-96	ru-98	ru-99	ru-100	ru-101	ru-102	ru-104
1.200000e+01	1.000000e-02	1.534000e-10	5.280000e-11	3.641000e-10	3.632000e-10	4.968000e-10	9.279000e-10	5.583000e-10
1.500000e+01	1.000000e-02	2.394000e-10	8.240000e-11	5.683000e-10	5.669000e-10	7.753000e-10	1.448000e-09	8.714000e-10
2.000000e+01	1.000000e-02	4.225000e-10	1.454000e-10	1.003000e-09	1.000000e-09	1.368000e-09	2.556000e-09	1.538000e-09
2.500000e+01	1.000000e-02	7.715000e-10	2.656000e-10	1.832000e-09	1.827000e-09	2.499000e-09	4.667000e-09	2.808000e-09
