#M_sun	tl-203	tl-205
8	0	0
1.200000e+01	1.689000e-10	4.071000e-10
1.500000e+01	2.635000e-10	6.353000e-10
2.000000e+01	4.651000e-10	1.121000e-09
2.500000e+01	8.494000e-10	2.047000e-09
