#M	Z	v-50	v-51
1.200000e+01	1.000000e-02	5.324000e-10	2.169000e-07
1.500000e+01	1.000000e-02	8.309000e-10	3.386000e-07
2.000000e+01	1.000000e-02	1.467000e-09	5.976000e-07
2.500000e+01	1.000000e-02	2.678000e-09	1.091000e-06
