#M_sun	c-12	c-13
8	0	0
1.200000e+01	1.365000e-03	4.468000e-05
1.500000e+01	2.425000e-03	8.386000e-05
2.000000e+01	4.075000e-03	8.200000e-05
2.500000e+01	7.263000e-03	1.980000e-04
