#M_sun	n-14	n-15
8	0	0
1.200000e+01	1.433000e-03	1.409000e-06
1.500000e+01	1.581000e-03	2.393000e-06
2.000000e+01	3.869000e-03	4.651000e-06
2.500000e+01	7.542000e-03	7.567000e-06
