#M	Z	p-31
1.200000e+01	1.000000e-02	3.727000e-06
1.500000e+01	1.000000e-02	5.815000e-06
2.000000e+01	1.000000e-02	1.027000e-05
2.500000e+01	1.000000e-02	1.875000e-05
