#M	Z	zn-64	zn-66	zn-67	zn-68	zn-70
1.200000e+01	1.000000e-02	5.928000e-07	3.508000e-07	5.233000e-08	2.429000e-07	8.267000e-09
1.500000e+01	1.000000e-02	9.252000e-07	5.474000e-07	8.166000e-08	3.790000e-07	1.290000e-08
2.000000e+01	1.000000e-02	1.633000e-06	9.661000e-07	1.441000e-07	6.690000e-07	2.277000e-08
2.500000e+01	1.000000e-02	2.982000e-06	1.764000e-06	2.632000e-07	1.222000e-06	4.158000e-08
