#M	Z	ho-165
1.200000e+01	1.000000e-02	4.450000e-10
1.500000e+01	1.000000e-02	6.945000e-10
2.000000e+01	1.000000e-02	1.226000e-09
2.500000e+01	1.000000e-02	2.238000e-09
