#M_sun	zr-90	zr-91	zr-92	zr-94	zr-96
8	0	0	0	0	0
1.200000e+01	8.045000e-09	1.774000e-09	2.740000e-09	2.838000e-09	4.668000e-10
1.500000e+01	1.255000e-08	2.769000e-09	4.277000e-09	4.429000e-09	7.285000e-10
2.000000e+01	2.216000e-08	4.887000e-09	7.548000e-09	7.818000e-09	1.286000e-09
2.500000e+01	4.046000e-08	8.924000e-09	1.378000e-08	1.428000e-08	2.348000e-09
