#M	Z	hf-174	hf-176	hf-177	hf-178	hf-179	hf-180
1.200000e+01	1.000000e-02	6.455000e-13	2.116000e-11	7.538000e-11	1.112000e-10	5.584000e-11	1.451000e-10
1.500000e+01	1.000000e-02	1.007000e-12	3.303000e-11	1.176000e-10	1.736000e-10	8.715000e-11	2.264000e-10
2.000000e+01	1.000000e-02	1.778000e-12	5.829000e-11	2.076000e-10	3.064000e-10	1.538000e-10	3.996000e-10
2.500000e+01	1.000000e-02	3.247000e-12	1.064000e-10	3.792000e-10	5.594000e-10	2.809000e-10	7.297000e-10
