#M	Z	os-184	os-186	os-187	os-188	os-189	os-190	os-192
1.200000e+01	1.000000e-02	3.727000e-13	3.029000e-11	3.079000e-11	2.555000e-10	3.132000e-10	5.120000e-10	8.036000e-10
1.500000e+01	1.000000e-02	5.816000e-13	4.728000e-11	4.819000e-11	3.988000e-10	4.888000e-10	7.991000e-10	1.254000e-09
2.000000e+01	1.000000e-02	1.027000e-12	8.345000e-11	8.229000e-11	7.038000e-10	8.627000e-10	1.410000e-09	2.213000e-09
2.500000e+01	1.000000e-02	1.875000e-12	1.524000e-10	1.500000e-10	1.285000e-09	1.575000e-09	2.575000e-09	4.042000e-09
