#M_sun	mo-92	mo-94	mo-95	mo-96	mo-97	mo-98	mo-100
8	0	0	0	0	0	0	0
1.200000e+01	5.308000e-10	3.380000e-10	5.882000e-10	6.226000e-10	3.605000e-10	9.198000e-10	3.747000e-10
1.500000e+01	8.285000e-10	5.276000e-10	9.180000e-10	9.717000e-10	5.626000e-10	1.435000e-09	5.847000e-10
2.000000e+01	1.462000e-09	9.311000e-10	1.620000e-09	1.715000e-09	9.929000e-10	2.534000e-09	1.032000e-09
2.500000e+01	2.670000e-09	1.700000e-09	2.959000e-09	3.132000e-09	1.813000e-09	4.627000e-09	1.885000e-09
