#M_sun	ta-180	ta-181
8	0	0
1.200000e+01	5.554000e-15	1.041000e-10
1.500000e+01	8.540000e-15	1.625000e-10
2.000000e+01	8.588000e-15	2.868000e-10
2.500000e+01	3.150000e-14	5.237000e-10
