#M_sun	lu-175	lu-176
8	0	0
1.200000e+01	9.583000e-11	2.372000e-11
1.500000e+01	1.496000e-10	3.702000e-11
2.000000e+01	2.640000e-10	6.533000e-11
2.500000e+01	4.820000e-10	1.193000e-10
