#M	Z	re-185	re-187
1.200000e+01	1.000000e-02	5.494000e-11	9.361000e-11
1.500000e+01	1.000000e-02	8.574000e-11	1.460000e-10
2.000000e+01	1.000000e-02	1.513000e-10	2.604000e-10
2.500000e+01	1.000000e-02	2.763000e-10	4.757000e-10
