#M	Z	ba-130	ba-132	ba-134	ba-135	ba-136	ba-137	ba-138
1.200000e+01	1.000000e-02	9.512000e-12	9.239000e-12	2.240000e-10	6.155000e-10	7.386000e-10	1.064000e-09	6.843000e-09
1.500000e+01	1.000000e-02	1.485000e-11	1.442000e-11	3.496000e-10	9.605000e-10	1.153000e-09	1.661000e-09	1.068000e-08
2.000000e+01	1.000000e-02	2.620000e-11	2.545000e-11	6.170000e-10	1.695000e-09	2.035000e-09	2.931000e-09	1.885000e-08
2.500000e+01	1.000000e-02	4.785000e-11	4.647000e-11	1.127000e-09	3.096000e-09	3.715000e-09	5.353000e-09	3.442000e-08
