#M_sun	cl-35	cl-37
8	0	0
1.200000e+01	3.576000e-06	1.209000e-06
1.500000e+01	5.581000e-06	1.887000e-06
2.000000e+01	9.851000e-06	3.330000e-06
2.500000e+01	1.799000e-05	6.081000e-06
