#M_sun	he-3	he-4
8	0	0
1.200000e+01	4.134000e-05	2.989000e-01
1.500000e+01	7.083000e-05	4.511000e-01
2.000000e+01	1.342000e-04	8.620000e-01
2.500000e+01	2.015000e-04	1.579000e+00
