#M_sun	ir-191	ir-193
8	0	0
1.200000e+01	7.117000e-10	1.210000e-09
1.500000e+01	1.111000e-09	1.889000e-09
2.000000e+01	1.960000e-09	3.334000e-09
2.500000e+01	3.580000e-09	6.088000e-09
