#M_sun	pd-102	pd-104	pd-105	pd-106	pd-108	pd-110
8	0	0	0	0	0	0
1.200000e+01	2.224000e-11	2.476000e-10	5.011000e-10	6.192000e-10	6.108000e-10	2.755000e-10
1.500000e+01	3.470000e-11	3.864000e-10	7.821000e-10	9.663000e-10	9.532000e-10	4.300000e-10
2.000000e+01	6.125000e-11	6.820000e-10	1.380000e-09	1.705000e-09	1.682000e-09	7.590000e-10
2.500000e+01	1.118000e-10	1.245000e-09	2.521000e-09	3.114000e-09	3.072000e-09	1.386000e-09
