#M	Z	la-138	la-139
1.200000e+01	1.000000e-02	8.400000e-13	9.386000e-10
1.500000e+01	1.000000e-02	1.312000e-12	1.465000e-09
2.000000e+01	1.000000e-02	2.313000e-12	2.585000e-09
2.500000e+01	1.000000e-02	4.224000e-12	4.721000e-09
