#M	Z	li-7
1.200000e+01	1.000000e-02	1.739000e-11
1.500000e+01	1.000000e-02	2.674000e-11
2.000000e+01	1.000000e-02	2.689000e-11
2.500000e+01	1.000000e-02	9.862000e-11
