#M_sun	w-180	w-182	w-183	w-184	w-186
8	0	0	0	0	0
1.200000e+01	4.412000e-13	9.843000e-11	5.346000e-11	1.151000e-10	1.079000e-10
1.500000e+01	6.885000e-13	1.536000e-10	8.344000e-11	1.796000e-10	1.684000e-10
2.000000e+01	1.216000e-12	2.711000e-10	1.473000e-10	3.170000e-10	2.973000e-10
2.500000e+01	2.219000e-12	4.951000e-10	2.689000e-10	5.788000e-10	5.428000e-10
