#M	Z	ca-40	ca-42	ca-43	ca-44	ca-46	ca-48
1.200000e+01	1.000000e-02	3.788000e-05	2.655000e-07	5.671000e-08	8.966000e-07	1.798000e-09	8.769000e-08
1.500000e+01	1.000000e-02	5.912000e-05	4.143000e-07	8.850000e-08	1.399000e-06	2.805000e-09	1.368000e-07
2.000000e+01	1.000000e-02	1.043000e-04	7.312000e-07	1.562000e-07	2.470000e-06	4.951000e-09	2.415000e-07
2.500000e+01	1.000000e-02	1.905000e-04	1.335000e-06	2.852000e-07	4.510000e-06	9.042000e-09	4.411000e-07
