#M	Z	ne-20	ne-21	ne-22
1.200000e+01	1.000000e-02	9.517000e-04	3.735000e-06	6.910000e-05
1.500000e+01	1.000000e-02	1.486000e-03	4.849000e-06	1.139000e-04
2.000000e+01	1.000000e-02	2.618000e-03	9.665000e-06	1.856000e-04
2.500000e+01	1.000000e-02	4.778000e-03	1.656000e-05	3.357000e-04
