#M	Z	pr-141
1.200000e+01	1.000000e-02	3.623000e-10
1.500000e+01	1.000000e-02	5.654000e-10
2.000000e+01	1.000000e-02	9.980000e-10
2.500000e+01	1.000000e-02	1.822000e-09
