#M	Z	nd-142	nd-143	nd-144	nd-145	nd-146	nd-148	nd-150
1.200000e+01	1.000000e-02	5.201000e-10	2.351000e-10	4.627000e-10	1.623000e-10	3.380000e-10	1.146000e-10	1.137000e-10
1.500000e+01	1.000000e-02	8.117000e-10	3.669000e-10	7.222000e-10	2.533000e-10	5.276000e-10	1.788000e-10	1.774000e-10
2.000000e+01	1.000000e-02	1.433000e-09	6.475000e-10	1.275000e-09	4.470000e-10	9.311000e-10	3.156000e-10	3.131000e-10
2.500000e+01	1.000000e-02	2.616000e-09	1.182000e-09	2.328000e-09	8.163000e-10	1.700000e-09	5.762000e-10	5.718000e-10
