#M	Z	ga-69	ga-71
1.200000e+01	1.000000e-02	2.386000e-08	1.629000e-08
1.500000e+01	1.000000e-02	3.723000e-08	2.543000e-08
2.000000e+01	1.000000e-02	6.572000e-08	4.488000e-08
2.500000e+01	1.000000e-02	1.200000e-07	8.195000e-08
