#M	Z	ge-70	ge-72	ge-73	ge-74	ge-76
1.200000e+01	1.000000e-02	2.704000e-08	3.623000e-08	1.025000e-08	4.838000e-08	1.029000e-08
1.500000e+01	1.000000e-02	4.220000e-08	5.654000e-08	1.599000e-08	7.551000e-08	1.606000e-08
2.000000e+01	1.000000e-02	7.448000e-08	9.980000e-08	2.823000e-08	1.333000e-07	2.835000e-08
2.500000e+01	1.000000e-02	1.360000e-07	1.822000e-07	5.155000e-08	2.434000e-07	5.177000e-08
