#M_sun	h-1	h-2
8	0	0
1.200000e+01	7.391000e-01	6.468000e-06
1.500000e+01	1.169000e+00	9.944000e-06
2.000000e+01	1.997000e+00	1.000000e-05
2.500000e+01	3.643000e+00	3.668000e-05
