#M	Z	cu-63	cu-65
1.200000e+01	1.000000e-02	3.460000e-07	1.591000e-07
1.500000e+01	1.000000e-02	5.401000e-07	2.483000e-07
2.000000e+01	1.000000e-02	9.532000e-07	4.383000e-07
2.500000e+01	1.000000e-02	1.741000e-06	8.003000e-07
