#M_sun	fe-54	fe-56	fe-57	fe-58
8	0	0	0	0
1.200000e+01	4.256000e-05	6.929000e-04	1.629000e-05	2.206000e-06
1.500000e+01	6.643000e-05	1.081000e-03	2.542000e-05	3.442000e-06
2.000000e+01	1.172000e-04	1.909000e-03	4.486000e-05	6.075000e-06
2.500000e+01	2.141000e-04	3.485000e-03	8.193000e-05	1.109000e-05
