#M_sun	eu-151	eu-153
8	0	0
1.200000e+01	1.067000e-10	1.181000e-10
1.500000e+01	1.666000e-10	1.843000e-10
2.000000e+01	2.940000e-10	3.252000e-10
2.500000e+01	5.369000e-10	5.939000e-10
