#M	Z	co-59
1.200000e+01	1.000000e-02	2.093000e-06
1.500000e+01	1.000000e-02	3.266000e-06
2.000000e+01	1.000000e-02	5.764000e-06
2.500000e+01	1.000000e-02	1.053000e-05
