#M	Z	hg-196	hg-198	hg-199	hg-200	hg-201	hg-202	hg-204
1.200000e+01	1.000000e-02	1.578000e-12	1.035000e-10	1.762000e-10	2.423000e-10	1.390000e-10	3.165000e-10	7.347000e-11
1.500000e+01	1.000000e-02	2.462000e-12	1.616000e-10	2.749000e-10	3.782000e-10	2.169000e-10	4.939000e-10	1.147000e-10
2.000000e+01	1.000000e-02	4.346000e-12	2.852000e-10	4.852000e-10	6.675000e-10	3.829000e-10	8.717000e-10	2.024000e-10
2.500000e+01	1.000000e-02	7.936000e-12	5.208000e-10	8.861000e-10	1.219000e-09	6.991000e-10	1.592000e-09	3.696000e-10
