#M	Z	tm-169
1.200000e+01	1.000000e-02	9.722000e-11
1.500000e+01	1.000000e-02	1.517000e-10
2.000000e+01	1.000000e-02	2.678000e-10
2.500000e+01	1.000000e-02	4.890000e-10
