#M	Z	s-32	s-33	s-34	s-36
1.200000e+01	1.000000e-02	2.103000e-04	1.712000e-06	9.911000e-06	4.233000e-08
1.500000e+01	1.000000e-02	3.282000e-04	2.671000e-06	1.547000e-05	6.606000e-08
2.000000e+01	1.000000e-02	5.792000e-04	4.715000e-06	2.730000e-05	1.166000e-07
2.500000e+01	1.000000e-02	1.058000e-03	8.610000e-06	4.985000e-05	2.129000e-07
