#M_sun	o-16	o-17	o-18
8	0	0	0
1.200000e+01	4.590000e-03	2.752000e-06	9.180000e-06
1.500000e+01	7.502000e-03	3.446000e-06	1.605000e-05
2.000000e+01	1.236000e-02	6.197000e-06	2.613000e-05
2.500000e+01	2.222000e-02	1.015000e-05	4.720000e-05
