#M	Z	ti-46	ti-47	ti-48	ti-49	ti-50
1.200000e+01	1.000000e-02	1.694000e-07	1.561000e-07	1.580000e-06	1.184000e-07	1.158000e-07
1.500000e+01	1.000000e-02	2.644000e-07	2.436000e-07	2.466000e-06	1.847000e-07	1.807000e-07
2.000000e+01	1.000000e-02	4.667000e-07	4.299000e-07	4.352000e-06	3.260000e-07	3.189000e-07
2.500000e+01	1.000000e-02	8.523000e-07	7.851000e-07	7.948000e-06	5.953000e-07	5.823000e-07
