#M	Z	xe-124	xe-126	xe-128	xe-129	xe-130	xe-131	xe-132	xe-134	xe-136
1.200000e+01	2.000000e-02	2.005000e-11	1.769000e-11	3.578000e-10	4.441000e-09	7.138000e-10	3.580000e-09	4.362000e-09	1.623000e-09	1.342000e-09
1.500000e+01	2.000000e-02	6.289000e-11	5.549000e-11	1.122000e-09	1.393000e-08	2.239000e-09	1.123000e-08	1.368000e-08	5.090000e-09	4.208000e-09
2.000000e+01	2.000000e-02	1.017000e-10	8.969000e-11	1.814000e-09	2.251000e-08	3.619000e-09	1.815000e-08	2.211000e-08	8.227000e-09	6.802000e-09
2.500000e+01	2.000000e-02	2.692000e-10	2.375000e-10	4.804000e-09	5.962000e-08	9.584000e-09	4.807000e-08	5.856000e-08	2.179000e-08	1.801000e-08
