#M_sun	zn-64	zn-66	zn-67	zn-68	zn-70
8	0	0	0	0	0
1.200000e+01	1.026000e-06	6.072000e-07	9.058000e-08	4.204000e-07	1.431000e-08
1.500000e+01	3.219000e-06	1.904000e-06	2.841000e-07	1.319000e-06	4.488000e-08
2.000000e+01	5.203000e-06	3.078000e-06	4.592000e-07	2.131000e-06	7.255000e-08
2.500000e+01	1.378000e-05	8.152000e-06	1.216000e-06	5.644000e-06	1.921000e-07
