#M_sun	mg-24	mg-25	mg-26
8	0	0	0
1.200000e+01	5.320000e-04	6.552000e-05	8.514000e-05
1.500000e+01	1.669000e-03	2.034000e-04	2.692000e-04
2.000000e+01	2.697000e-03	3.210000e-04	4.430000e-04
2.500000e+01	7.144000e-03	7.674000e-04	1.258000e-03
