#M	Z	ta-180	ta-181
1.200000e+01	2.000000e-02	6.949000e-15	1.802000e-10
1.500000e+01	2.000000e-02	1.551000e-14	5.652000e-10
2.000000e+01	2.000000e-02	5.606000e-14	9.136000e-10
2.500000e+01	2.000000e-02	2.113000e-14	2.420000e-09
