#M_sun	cl-35	cl-37
8	0	0
1.200000e+01	6.190000e-06	2.093000e-06
1.500000e+01	1.942000e-05	6.564000e-06
2.000000e+01	3.138000e-05	1.061000e-05
2.500000e+01	8.312000e-05	2.810000e-05
