#M_sun	ni-58	ni-60	ni-61	ni-62	ni-64
8	0	0	0	0	0
1.200000e+01	5.183000e-05	2.065000e-05	9.127000e-07	2.958000e-06	7.776000e-07
1.500000e+01	1.626000e-04	6.478000e-05	2.863000e-06	9.278000e-06	2.439000e-06
2.000000e+01	2.628000e-04	1.047000e-04	4.627000e-06	1.500000e-05	3.942000e-06
2.500000e+01	6.959000e-04	2.773000e-04	1.225000e-05	3.971000e-05	1.044000e-05
