#M_sun	kr-78	kr-80	kr-82	kr-83	kr-84	kr-86
8	0	0	0	0	0	0
1.200000e+01	3.540000e-10	2.337000e-09	1.198000e-08	1.202000e-08	5.992000e-08	1.855000e-08
1.500000e+01	1.110000e-09	7.329000e-09	3.756000e-08	3.769000e-08	1.879000e-07	5.819000e-08
2.000000e+01	1.795000e-09	1.185000e-08	6.071000e-08	6.093000e-08	3.038000e-07	9.406000e-08
2.500000e+01	4.752000e-09	3.137000e-08	1.608000e-07	1.614000e-07	8.045000e-07	2.491000e-07
