#M_sun	v-50	v-51
8	0	0
1.200000e+01	9.216000e-10	3.755000e-07
1.500000e+01	2.891000e-09	1.178000e-06
2.000000e+01	4.672000e-09	1.904000e-06
2.500000e+01	1.237000e-08	5.042000e-06
